ADR block file read	Other
ADR block file write	Other
ADR file lock	Other
affinity expansion in replay	Other
alter rbs offline	Administrative
alter system set dispatcher	Administrative
AQ propagation connection	Other
AQ spill debug idle	Other
ARCH random i/o	System I/O
ARCH sequential i/o	System I/O
ARCH wait for archivelog lock	Other
ARCH wait for flow-control	Network
ARCH wait for net re-connect	Network
ARCH wait for netserver detach	Network
ARCH wait for netserver init 1	Network
ARCH wait for netserver init 2	Network
ARCH wait for netserver start	Network
ARCH wait for pending I/Os	System I/O
ARCH wait for process death 1	Other
ARCH wait for process death 2	Other
ARCH wait for process death 3	Other
ARCH wait for process death 4	Other
ARCH wait for process death 5	Other
ARCH wait for process start 1	Other
ARCH wait for process start 2	Other
ARCH wait for process start 3	Other
ARCH wait for process start 4	Other
ARCH wait on ATTACH	Network
ARCH wait on c/f tx acquire 1	Other
ARCH wait on c/f tx acquire 2	Other
ARCH wait on DETACH	Network
ARCH wait on SENDREQ	Network
Archive Manager file transfer I/O	User I/O
Archiver slave I/O	System I/O
ASM background running	Other
ASM background starting	Other
ASM background timer	Idle
ASM cluster file access	Other
ASM COD rollback operation completion	Administrative
ASM db client exists	Other
ASM DG Unblock	Other
ASM file metadata operation	Other
ASM Fixed Package I/O	User I/O
ASM Instance startup	Other
ASM internal hang test	Other
ASM metadata cache frozen	Other
ASM mount : wait for heartbeat	Administrative
ASM network foreground exits	Other
ASM PST query : wait for [PM][grp][0] grant	Cluster
ASM Staleness File I/O	User I/O
ASM Volume Background	Other
ASM: MARK subscribe to msg channel	Other
ASM: OFS Cluster membership update	Other
asynch descriptor resize	Other
Auto BMR completion	Other
Auto BMR RPC standby catchup	Other
auto-sqltune: wait graph update	Idle
AWR Flush	Other
AWR Metric Capture	Other
Backup Restore Event 19778 sleep	Other
Backup Restore Switch Bitmap sleep	Other
Backup Restore Throttle sleep	Other
Backup: MML command to channel	Administrative
Backup: MML commit backup piece	Administrative
Backup: MML create a backup piece	Administrative
